fecha,producto,categoria,region,unidades,precio_unitario
2024-02-11,Sudadera capucha,Ropa,Norte,2,29.90
2024-02-11,Gorra logo,Accesorios,Sur,3,9.90
2024-02-11,Libreta A5,Papelería,Este,2,5.90
2024-02-11,Pack pegatinas,Papelería,Norte,3,3.50
2024-02-13,Botella térmica,Accesorios,Sur,1,17.01
2024-02-13,Botella térmica,Accesorios,Centro,2,18.90
2024-02-13,Bolsa tela,Accesorios,Sur,1,6.21
2024-02-15,Gorra logo,Accesorios,Este,4,8.91
2024-02-15,Libreta A5,Papelería,Sur,1,5.90
2024-02-16,Sudadera capucha,Ropa,Oeste,3,29.90
2024-02-17,Gorra logo,Accesorios,Norte,2,9.90
2024-02-18,Libreta A5,Papelería,Sur,4,5.90
2024-02-18,Botella térmica,Accesorios,Norte,2,18.90
2024-02-18,Bolsa tela,Accesorios,Sur,1,6.90
2024-02-19,Pack pegatinas,Papelería,Sur,3,3.50
2024-02-20,Camiseta básica,Ropa,Este,2,12.90
2024-02-22,Libreta A5,Papelería,Centro,4,5.90
2024-02-22,Libreta A5,Papelería,Este,1,5.31
2024-02-23,Botella térmica,Accesorios,Oeste,1,17.01
2024-02-24,Libreta A5,Papelería,Centro,4,5.90
2024-02-24,Sudadera capucha,Ropa,Sur,4,29.90
2024-02-24,Botella térmica,Accesorios,Norte,1,18.90
2024-02-24,Taza cerámica,Hogar,Este,3,7.50
2024-02-25,Sudadera capucha,Ropa,Oeste,3,29.90
2024-02-25,Libreta A5,Papelería,Centro,4,5.90
2024-02-25,Gorra logo,Accesorios,Oeste,2,9.90
2024-02-25,Gorra logo,Accesorios,Norte,3,9.90
2024-02-26,Botella térmica,Accesorios,Centro,2,18.90
2024-02-26,Libreta A5,Papelería,Sur,4,5.90
2024-02-27,Gorra logo,Accesorios,Centro,1,9.90
2024-02-27,Libreta A5,Papelería,Sur,1,5.90
2024-02-27,Botella térmica,Accesorios,Sur,2,18.90
2024-03-01,Pack pegatinas,Papelería,Centro,1,3.50
2024-03-02,Bolsa tela,Accesorios,Sur,4,6.90
2024-03-02,Camiseta básica,Ropa,Sur,1,12.90
2024-03-02,Gorra logo,Accesorios,Sur,4,8.91
2024-03-03,Gorra logo,Accesorios,Centro,4,9.90
2024-03-04,Pack pegatinas,Papelería,Centro,4,3.50
2024-03-04,Pack pegatinas,Papelería,Oeste,2,3.50
2024-03-05,Botella térmica,Accesorios,Este,2,18.90
2024-03-05,Pack pegatinas,Papelería,Norte,2,3.50
2024-03-05,Botella térmica,Accesorios,Este,2,18.90
2024-03-07,Gorra logo,Accesorios,Sur,2,9.90
2024-03-08,Sudadera capucha,Ropa,Centro,4,29.90
2024-03-09,Camiseta básica,Ropa,Oeste,2,12.90
2024-03-09,Camiseta básica,Ropa,Este,4,12.90
2024-03-09,Botella térmica,Accesorios,Oeste,4,18.90
2024-03-09,Taza cerámica,Hogar,Oeste,4,7.50
2024-03-10,Bolsa tela,Accesorios,Oeste,3,6.90
2024-03-10,Gorra logo,Accesorios,Centro,4,9.90
2024-03-10,Camiseta básica,Ropa,Norte,4,12.90
2024-03-12,Gorra logo,Accesorios,Este,4,9.90
2024-03-12,Bolsa tela,Accesorios,Este,3,6.90
2024-03-12,Libreta A5,Papelería,Oeste,4,5.90
2024-03-13,Sudadera capucha,Ropa,Centro,4,26.91
2024-03-13,Camiseta básica,Ropa,Norte,3,12.90
2024-03-16,Camiseta básica,Ropa,Oeste,2,12.90
2024-03-17,Taza cerámica,Hogar,Este,4,7.50
2024-03-17,Gorra logo,Accesorios,Sur,1,9.90
2024-03-18,Sudadera capucha,Ropa,Centro,1,29.90
2024-03-18,Bolsa tela,Accesorios,Sur,4,6.90
2024-03-20,Sudadera capucha,Ropa,Centro,3,29.90
2024-03-23,Bolsa tela,Accesorios,Este,3,6.21
2024-03-23,Camiseta básica,Ropa,Norte,4,12.90
2024-03-23,Bolsa tela,Accesorios,Oeste,3,6.90
2024-03-23,Gorra logo,Accesorios,Centro,4,9.90
2024-03-24,Pack pegatinas,Papelería,Centro,4,3.50
2024-03-24,Botella térmica,Accesorios,Norte,3,18.90
2024-03-24,Botella térmica,Accesorios,Oeste,4,18.90
2024-03-24,Bolsa tela,Accesorios,Este,3,6.21
2024-03-25,Pack pegatinas,Papelería,Este,2,3.50
2024-03-26,Botella térmica,Accesorios,Centro,3,18.90
2024-03-26,Taza cerámica,Hogar,Oeste,1,7.50
2024-03-27,Taza cerámica,Hogar,Oeste,4,7.50
2024-03-27,Pack pegatinas,Papelería,Sur,1,3.15
2024-03-27,Bolsa tela,Accesorios,Centro,2,6.90
2024-03-28,Pack pegatinas,Papelería,Centro,3,3.50
2024-03-28,Libreta A5,Papelería,Este,3,5.90
2024-03-29,Botella térmica,Accesorios,Sur,2,17.01
2024-03-29,Libreta A5,Papelería,Sur,1,5.90
2024-03-30,Pack pegatinas,Papelería,Centro,3,3.50
2024-03-31,Taza cerámica,Hogar,Sur,3,7.50
2024-03-31,Botella térmica,Accesorios,Sur,1,18.90
2024-04-01,Camiseta básica,Ropa,Sur,1,12.90
2024-04-01,Pack pegatinas,Papelería,Centro,1,3.50
2024-04-02,Pack pegatinas,Papelería,Sur,4,3.50
2024-04-02,Camiseta básica,Ropa,Oeste,3,12.90
2024-04-05,Pack pegatinas,Papelería,Norte,1,3.50
2024-04-05,Gorra logo,Accesorios,Este,2,9.90
2024-04-05,Sudadera capucha,Ropa,Oeste,2,26.91
2024-04-06,Bolsa tela,Accesorios,Este,4,6.90
2024-04-06,Bolsa tela,Accesorios,Norte,3,6.90
2024-04-06,Sudadera capucha,Ropa,Este,2,29.90
2024-04-08,Gorra logo,Accesorios,Oeste,1,9.90
2024-04-09,Pack pegatinas,Papelería,Este,3,3.15
2024-04-09,Botella térmica,Accesorios,Sur,4,17.01
2024-04-09,Botella térmica,Accesorios,Centro,2,18.90
2024-04-10,Gorra logo,Accesorios,Norte,3,9.90
2024-04-12,Botella térmica,Accesorios,Oeste,3,18.90
2024-04-13,Bolsa tela,Accesorios,Oeste,3,6.90
2024-04-13,Pack pegatinas,Papelería,Oeste,1,3.50
2024-04-13,Libreta A5,Papelería,Sur,3,5.31
2024-04-13,Camiseta básica,Ropa,Sur,3,12.90
2024-04-14,Pack pegatinas,Papelería,Centro,3,3.50
2024-04-14,Bolsa tela,Accesorios,Oeste,4,6.90
2024-04-14,Libreta A5,Papelería,Norte,4,5.90
2024-04-14,Gorra logo,Accesorios,Oeste,3,9.90
2024-04-14,Botella térmica,Accesorios,Centro,4,18.90
2024-04-16,Sudadera capucha,Ropa,Norte,3,29.90
2024-04-16,Bolsa tela,Accesorios,Centro,1,6.90
2024-04-16,Pack pegatinas,Papelería,Centro,4,3.15
2024-04-17,Pack pegatinas,Papelería,Sur,4,3.50
2024-04-17,Botella térmica,Accesorios,Oeste,2,18.90
2024-04-18,Sudadera capucha,Ropa,Centro,1,29.90
2024-04-18,Taza cerámica,Hogar,Norte,2,7.50
2024-04-18,Bolsa tela,Accesorios,Norte,1,6.90
2024-04-19,Sudadera capucha,Ropa,Este,2,29.90
2024-04-19,Botella térmica,Accesorios,Oeste,4,18.90
2024-04-19,Taza cerámica,Hogar,Oeste,4,7.50
2024-04-20,Gorra logo,Accesorios,Oeste,1,9.90
2024-04-20,Libreta A5,Papelería,Este,3,5.90
2024-04-20,Botella térmica,Accesorios,Oeste,4,18.90
2024-04-21,Libreta A5,Papelería,Este,4,5.90
2024-04-21,Taza cerámica,Hogar,Sur,2,7.50
2024-04-21,Bolsa tela,Accesorios,Oeste,1,6.90
2024-04-21,Bolsa tela,Accesorios,Sur,4,6.90
2024-04-22,Camiseta básica,Ropa,Centro,2,12.90
2024-04-22,Libreta A5,Papelería,Oeste,1,5.90
2024-04-22,Sudadera capucha,Ropa,Sur,4,26.91
2024-04-23,Gorra logo,Accesorios,Este,1,9.90
2024-04-23,Libreta A5,Papelería,Este,4,5.90
2024-04-23,Bolsa tela,Accesorios,Oeste,3,6.90
2024-04-26,Botella térmica,Accesorios,Oeste,2,18.90
2024-04-27,Sudadera capucha,Ropa,Este,4,29.90
2024-04-27,Camiseta básica,Ropa,Norte,1,12.90
2024-04-28,Libreta A5,Papelería,Centro,4,5.31
2024-04-28,Bolsa tela,Accesorios,Norte,2,6.90
2024-04-28,Bolsa tela,Accesorios,Centro,2,6.90
2024-04-29,Taza cerámica,Hogar,Oeste,4,7.50
2024-04-30,Camiseta básica,Ropa,Centro,4,12.90
2024-04-30,Gorra logo,Accesorios,Este,1,9.90
2024-05-01,Bolsa tela,Accesorios,Este,3,6.90
2024-05-01,Taza cerámica,Hogar,Norte,4,7.50
2024-05-02,Bolsa tela,Accesorios,Este,3,6.90
2024-05-04,Camiseta básica,Ropa,Oeste,1,12.90
2024-05-04,Botella térmica,Accesorios,Este,2,18.90
2024-05-04,Taza cerámica,Hogar,Sur,2,7.50
2024-05-04,Sudadera capucha,Ropa,Oeste,1,29.90
2024-05-05,Libreta A5,Papelería,Este,2,5.31
2024-05-05,Libreta A5,Papelería,Sur,4,5.90
2024-05-06,Botella térmica,Accesorios,Oeste,2,18.90
2024-05-06,Botella térmica,Accesorios,Oeste,3,18.90
2024-05-08,Taza cerámica,Hogar,Centro,4,7.50
2024-05-09,Sudadera capucha,Ropa,Centro,4,26.91
2024-05-09,Sudadera capucha,Ropa,Este,4,29.90
2024-05-10,Libreta A5,Papelería,Oeste,1,5.90
2024-05-10,Camiseta básica,Ropa,Sur,3,12.90
2024-05-10,Sudadera capucha,Ropa,Este,4,29.90
2024-05-11,Gorra logo,Accesorios,Este,1,9.90
2024-05-11,Pack pegatinas,Papelería,Centro,1,3.15
2024-05-11,Gorra logo,Accesorios,Centro,4,9.90
2024-05-12,Gorra logo,Accesorios,Oeste,4,9.90
2024-05-12,Bolsa tela,Accesorios,Este,3,6.21
2024-05-12,Taza cerámica,Hogar,Sur,4,7.50
2024-05-12,Libreta A5,Papelería,Este,1,5.90
2024-05-12,Libreta A5,Papelería,Sur,1,5.90
2024-05-14,Sudadera capucha,Ropa,Centro,2,29.90
2024-05-14,Camiseta básica,Ropa,Sur,1,12.90
2024-05-14,Gorra logo,Accesorios,Centro,2,8.91
2024-05-15,Taza cerámica,Hogar,Sur,2,7.50
2024-05-17,Gorra logo,Accesorios,Sur,2,9.90
2024-05-17,Sudadera capucha,Ropa,Este,1,26.91
2024-05-18,Libreta A5,Papelería,Norte,1,5.90
2024-05-18,Gorra logo,Accesorios,Norte,4,9.90
2024-05-18,Pack pegatinas,Papelería,Centro,4,3.50
2024-05-19,Taza cerámica,Hogar,Centro,1,7.50
2024-05-20,Pack pegatinas,Papelería,Oeste,1,3.15
2024-05-20,Bolsa tela,Accesorios,Oeste,4,6.90
2024-05-21,Sudadera capucha,Ropa,Sur,1,29.90
2024-05-21,Sudadera capucha,Ropa,Centro,2,29.90
2024-05-21,Libreta A5,Papelería,Centro,4,5.90
2024-05-22,Pack pegatinas,Papelería,Norte,4,3.15
2024-05-22,Taza cerámica,Hogar,Sur,4,7.50
2024-05-23,Libreta A5,Papelería,Norte,4,5.90
2024-05-23,Libreta A5,Papelería,Este,4,5.90
2024-05-23,Libreta A5,Papelería,Oeste,2,5.90
2024-05-26,Sudadera capucha,Ropa,Centro,3,29.90
2024-05-28,Sudadera capucha,Ropa,Oeste,4,29.90
2024-05-28,Camiseta básica,Ropa,Este,3,12.90
2024-05-30,Gorra logo,Accesorios,Norte,4,9.90
2024-05-31,Libreta A5,Papelería,Centro,1,5.90
2024-05-31,Taza cerámica,Hogar,Centro,4,7.50
2024-06-01,Botella térmica,Accesorios,Este,1,18.90
2024-06-01,Libreta A5,Papelería,Sur,3,5.31
2024-06-02,Gorra logo,Accesorios,Centro,1,8.91
2024-06-02,Taza cerámica,Hogar,Este,4,7.50
2024-06-02,Gorra logo,Accesorios,Este,3,9.90
2024-06-05,Gorra logo,Accesorios,Este,1,9.90
2024-06-06,Bolsa tela,Accesorios,Oeste,4,6.90
2024-06-06,Botella térmica,Accesorios,Norte,2,18.90
2024-06-06,Libreta A5,Papelería,Centro,4,5.31
2024-06-07,Botella térmica,Accesorios,Centro,1,18.90
2024-06-07,Camiseta básica,Ropa,Sur,1,12.90
2024-06-07,Gorra logo,Accesorios,Norte,3,9.90
2024-06-08,Bolsa tela,Accesorios,Centro,2,6.21
2024-06-09,Libreta A5,Papelería,Norte,1,5.90
2024-06-09,Bolsa tela,Accesorios,Norte,1,6.90
2024-06-09,Libreta A5,Papelería,Oeste,4,5.90
2024-06-10,Sudadera capucha,Ropa,Este,4,26.91
2024-06-10,Gorra logo,Accesorios,Este,4,9.90
2024-06-12,Sudadera capucha,Ropa,Oeste,2,29.90
2024-06-12,Sudadera capucha,Ropa,Este,4,29.90
2024-06-12,Taza cerámica,Hogar,Norte,3,7.50
2024-06-14,Libreta A5,Papelería,Sur,3,5.90
2024-06-15,Gorra logo,Accesorios,Centro,3,9.90
2024-06-16,Sudadera capucha,Ropa,Oeste,2,29.90
2024-06-16,Pack pegatinas,Papelería,Centro,4,3.50
2024-06-16,Libreta A5,Papelería,Norte,3,5.90
2024-06-17,Pack pegatinas,Papelería,Centro,3,3.50
2024-06-17,Camiseta básica,Ropa,Este,3,12.90
2024-06-17,Pack pegatinas,Papelería,Este,4,3.15
2024-06-18,Sudadera capucha,Ropa,Centro,1,29.90
2024-06-18,Bolsa tela,Accesorios,Norte,4,6.90
2024-06-19,Taza cerámica,Hogar,Centro,3,7.50
2024-06-19,Gorra logo,Accesorios,Este,1,9.90
2024-06-19,Sudadera capucha,Ropa,Oeste,2,26.91
2024-06-20,Gorra logo,Accesorios,Este,3,9.90
2024-06-20,Bolsa tela,Accesorios,Centro,4,6.90
2024-06-20,Camiseta básica,Ropa,Norte,3,11.61
2024-06-21,Botella térmica,Accesorios,Centro,3,18.90
2024-06-21,Gorra logo,Accesorios,Sur,3,8.91
2024-06-21,Libreta A5,Papelería,Oeste,3,5.90
2024-06-22,Sudadera capucha,Ropa,Este,3,29.90
2024-06-22,Gorra logo,Accesorios,Oeste,1,9.90
2024-06-22,Libreta A5,Papelería,Sur,1,5.90
2024-06-23,Pack pegatinas,Papelería,Sur,2,3.50
2024-06-23,Gorra logo,Accesorios,Norte,1,9.90
2024-06-25,Gorra logo,Accesorios,Sur,4,9.90
2024-06-25,Gorra logo,Accesorios,Este,4,8.91
2024-06-26,Pack pegatinas,Papelería,Oeste,3,3.50
2024-06-27,Taza cerámica,Hogar,Oeste,3,7.50
2024-06-28,Libreta A5,Papelería,Este,4,5.90
2024-06-29,Bolsa tela,Accesorios,Centro,2,6.90
2024-06-29,Gorra logo,Accesorios,Oeste,3,8.91
2024-06-29,Libreta A5,Papelería,Centro,1,5.90
2024-06-29,Sudadera capucha,Ropa,Sur,3,26.91
2024-06-29,Botella térmica,Accesorios,Sur,4,18.90
2024-06-30,Taza cerámica,Hogar,Norte,4,7.50
2024-06-30,Bolsa tela,Accesorios,Este,1,6.90
2024-06-30,Taza cerámica,Hogar,Este,4,7.50
2024-07-01,Camiseta básica,Ropa,Este,3,12.90
2024-07-02,Gorra logo,Accesorios,Oeste,1,9.90
2024-07-03,Pack pegatinas,Papelería,Norte,4,3.50
2024-07-05,Taza cerámica,Hogar,Centro,2,7.50
2024-07-05,Bolsa tela,Accesorios,Sur,1,6.90
2024-07-06,Camiseta básica,Ropa,Centro,2,12.90
2024-07-06,Pack pegatinas,Papelería,Oeste,1,3.15
2024-07-07,Taza cerámica,Hogar,Norte,2,7.50
2024-07-07,Libreta A5,Papelería,Sur,2,5.90
2024-07-09,Sudadera capucha,Ropa,Oeste,1,29.90
2024-07-09,Camiseta básica,Ropa,Este,4,12.90
2024-07-11,Sudadera capucha,Ropa,Norte,3,29.90
2024-07-11,Libreta A5,Papelería,Centro,2,5.31
2024-07-12,Gorra logo,Accesorios,Oeste,4,9.90
2024-07-12,Gorra logo,Accesorios,Oeste,2,8.91
2024-07-13,Taza cerámica,Hogar,Norte,1,7.50
2024-07-14,Bolsa tela,Accesorios,Sur,4,6.90
2024-07-14,Botella térmica,Accesorios,Norte,3,18.90
2024-07-14,Libreta A5,Papelería,Este,3,5.31
2024-07-15,Bolsa tela,Accesorios,Oeste,4,6.90
2024-07-15,Libreta A5,Papelería,Oeste,2,5.90
2024-07-15,Libreta A5,Papelería,Oeste,3,5.90
2024-07-17,Gorra logo,Accesorios,Norte,3,9.90
2024-07-17,Libreta A5,Papelería,Centro,3,5.90
2024-07-17,Bolsa tela,Accesorios,Este,2,6.90
2024-07-18,Camiseta básica,Ropa,Oeste,3,12.90
2024-07-18,Botella térmica,Accesorios,Oeste,1,17.01
2024-07-18,Libreta A5,Papelería,Sur,2,5.90
2024-07-19,Camiseta básica,Ropa,Este,2,11.61
2024-07-19,Libreta A5,Papelería,Norte,4,5.90
2024-07-19,Gorra logo,Accesorios,Este,4,9.90
2024-07-20,Gorra logo,Accesorios,Este,3,9.90
2024-07-20,Taza cerámica,Hogar,Sur,1,6.75
2024-07-20,Pack pegatinas,Papelería,Norte,4,3.50
2024-07-21,Pack pegatinas,Papelería,Este,2,3.50
2024-07-21,Pack pegatinas,Papelería,Norte,2,3.15
2024-07-21,Pack pegatinas,Papelería,Oeste,2,3.50
2024-07-23,Libreta A5,Papelería,Este,1,5.90
2024-07-23,Botella térmica,Accesorios,Sur,2,18.90
2024-07-24,Taza cerámica,Hogar,Sur,1,7.50
2024-07-24,Taza cerámica,Hogar,Centro,4,6.75
2024-07-25,Pack pegatinas,Papelería,Norte,2,3.50
2024-07-25,Sudadera capucha,Ropa,Oeste,3,29.90
2024-07-26,Bolsa tela,Accesorios,Este,1,6.21
2024-07-26,Sudadera capucha,Ropa,Centro,4,29.90
2024-07-26,Libreta A5,Papelería,Centro,2,5.90
2024-07-27,Bolsa tela,Accesorios,Centro,1,6.90
2024-07-28,Gorra logo,Accesorios,Sur,2,9.90
2024-07-28,Libreta A5,Papelería,Este,3,5.90
2024-07-29,Botella térmica,Accesorios,Centro,2,18.90
2024-07-31,Gorra logo,Accesorios,Centro,2,9.90
2024-08-01,Camiseta básica,Ropa,Centro,1,11.61
2024-08-01,Botella térmica,Accesorios,Oeste,2,18.90
2024-08-03,Botella térmica,Accesorios,Oeste,3,18.90
2024-08-03,Botella térmica,Accesorios,Norte,4,17.01
2024-08-03,Gorra logo,Accesorios,Oeste,4,9.90
2024-08-03,Taza cerámica,Hogar,Este,3,7.50
2024-08-03,Libreta A5,Papelería,Sur,3,5.90
2024-08-04,Sudadera capucha,Ropa,Norte,3,29.90
2024-08-04,Botella térmica,Accesorios,Norte,4,18.90
2024-08-04,Camiseta básica,Ropa,Centro,3,12.90
2024-08-04,Bolsa tela,Accesorios,Sur,2,6.90
2024-08-05,Libreta A5,Papelería,Oeste,2,5.90
2024-08-05,Pack pegatinas,Papelería,Oeste,4,3.50
2024-08-08,Pack pegatinas,Papelería,Este,2,3.50
2024-08-08,Camiseta básica,Ropa,Centro,1,12.90
2024-08-08,Pack pegatinas,Papelería,Norte,3,3.50
2024-08-09,Gorra logo,Accesorios,Oeste,3,9.90
2024-08-09,Libreta A5,Papelería,Centro,1,5.90
2024-08-09,Taza cerámica,Hogar,Norte,3,7.50
2024-08-10,Pack pegatinas,Papelería,Centro,3,3.50
2024-08-10,Sudadera capucha,Ropa,Oeste,2,29.90
2024-08-10,Libreta A5,Papelería,Este,3,5.90
2024-08-10,Gorra logo,Accesorios,Oeste,2,9.90
2024-08-10,Camiseta básica,Ropa,Este,1,11.61
2024-08-11,Pack pegatinas,Papelería,Centro,2,3.50
2024-08-11,Gorra logo,Accesorios,Este,3,9.90
2024-08-11,Gorra logo,Accesorios,Este,4,9.90
2024-08-11,Libreta A5,Papelería,Este,4,5.90
2024-08-11,Pack pegatinas,Papelería,Norte,1,3.50
2024-08-12,Botella térmica,Accesorios,Este,1,18.90
2024-08-12,Taza cerámica,Hogar,Sur,1,7.50
2024-08-12,Bolsa tela,Accesorios,Sur,2,6.90
2024-08-15,Camiseta básica,Ropa,Sur,4,12.90
2024-08-16,Taza cerámica,Hogar,Centro,4,7.50
2024-08-16,Pack pegatinas,Papelería,Centro,1,3.50
2024-08-16,Taza cerámica,Hogar,Oeste,3,7.50
2024-08-17,Gorra logo,Accesorios,Este,4,9.90
2024-08-17,Libreta A5,Papelería,Sur,3,5.90
2024-08-17,Taza cerámica,Hogar,Sur,3,7.50
2024-08-17,Botella térmica,Accesorios,Oeste,3,18.90
2024-08-18,Libreta A5,Papelería,Centro,3,5.90
2024-08-18,Bolsa tela,Accesorios,Sur,4,6.90
2024-08-18,Botella térmica,Accesorios,Norte,1,18.90
2024-08-19,Pack pegatinas,Papelería,Sur,3,3.50
2024-08-19,Taza cerámica,Hogar,Este,3,7.50
2024-08-20,Sudadera capucha,Ropa,Centro,2,29.90
2024-08-21,Taza cerámica,Hogar,Este,1,6.75
2024-08-22,Sudadera capucha,Ropa,Centro,2,26.91
2024-08-22,Gorra logo,Accesorios,Oeste,4,9.90
2024-08-22,Pack pegatinas,Papelería,Este,2,3.50
2024-08-23,Botella térmica,Accesorios,Norte,1,18.90
2024-08-23,Taza cerámica,Hogar,Sur,1,7.50
2024-08-24,Camiseta básica,Ropa,Sur,4,12.90
2024-08-24,Botella térmica,Accesorios,Centro,1,17.01
2024-08-24,Sudadera capucha,Ropa,Centro,3,29.90
2024-08-25,Pack pegatinas,Papelería,Norte,3,3.50
2024-08-25,Libreta A5,Papelería,Este,2,5.90
2024-08-25,Gorra logo,Accesorios,Este,1,9.90
2024-08-26,Gorra logo,Accesorios,Centro,4,9.90
2024-08-27,Sudadera capucha,Ropa,Sur,4,29.90
2024-08-27,Gorra logo,Accesorios,Sur,4,9.90
2024-08-29,Bolsa tela,Accesorios,Este,2,6.90
2024-08-29,Libreta A5,Papelería,Centro,3,5.90
2024-08-31,Libreta A5,Papelería,Norte,2,5.31
2024-08-31,Pack pegatinas,Papelería,Centro,3,3.50
2024-08-31,Botella térmica,Accesorios,Este,1,18.90
2024-08-31,Libreta A5,Papelería,Sur,2,5.90
2024-09-01,Pack pegatinas,Papelería,Centro,3,3.50
2024-09-01,Pack pegatinas,Papelería,Centro,2,3.50
2024-09-01,Sudadera capucha,Ropa,Este,4,29.90
2024-09-05,Gorra logo,Accesorios,Centro,2,9.90
2024-09-06,Sudadera capucha,Ropa,Oeste,2,29.90
2024-09-06,Sudadera capucha,Ropa,Oeste,4,29.90
2024-09-06,Gorra logo,Accesorios,Norte,4,9.90
2024-09-07,Botella térmica,Accesorios,Norte,1,18.90
2024-09-07,Taza cerámica,Hogar,Este,1,6.75
2024-09-07,Sudadera capucha,Ropa,Norte,1,29.90
2024-09-07,Pack pegatinas,Papelería,Sur,1,3.50
2024-09-07,Gorra logo,Accesorios,Oeste,4,9.90
2024-09-08,Bolsa tela,Accesorios,Centro,1,6.90
2024-09-08,Gorra logo,Accesorios,Centro,3,8.91
2024-09-08,Bolsa tela,Accesorios,Sur,2,6.90
2024-09-08,Camiseta básica,Ropa,Oeste,1,12.90
2024-09-09,Bolsa tela,Accesorios,Este,2,6.90
2024-09-09,Gorra logo,Accesorios,Norte,3,9.90
2024-09-09,Camiseta básica,Ropa,Norte,4,12.90
2024-09-10,Taza cerámica,Hogar,Norte,1,6.75
2024-09-11,Camiseta básica,Ropa,Oeste,2,12.90
2024-09-11,Pack pegatinas,Papelería,Norte,2,3.50
2024-09-11,Gorra logo,Accesorios,Centro,3,9.90
2024-09-12,Libreta A5,Papelería,Sur,2,5.90
2024-09-12,Taza cerámica,Hogar,Norte,4,7.50
2024-09-13,Bolsa tela,Accesorios,Este,4,6.21
2024-09-14,Libreta A5,Papelería,Este,4,5.90
2024-09-14,Bolsa tela,Accesorios,Oeste,2,6.90
2024-09-14,Taza cerámica,Hogar,Sur,2,7.50
2024-09-14,Pack pegatinas,Papelería,Oeste,1,3.50
2024-09-14,Gorra logo,Accesorios,Sur,4,9.90
2024-09-15,Sudadera capucha,Ropa,Norte,4,29.90
2024-09-15,Taza cerámica,Hogar,Centro,1,7.50
2024-09-15,Camiseta básica,Ropa,Centro,1,12.90
